Gene names,Log2FC_M_WT_M_MUT,negLog10pVal_M_WT_M_MUT,q-value M_WT_M_MUT,Student's T-test Significant M_WT_M_MUT,Log2FC_F_WT_F_MUT,negLog10pVal_F_WT_F_MUT,q-value F_WT_F_MUT,Student's T-test Significant F_WT_F_MUT,Log2FC_M_WT_F_WT,negLog10pVal_M_WT_F_WT,q-value M_WT_F_WT,Student's T-test Significant M_WT_F_WT,Log2FC_M_MUT_F_MUT,negLog10pVal_M_MUT_F_MUT,q-value M_MUT_F_MUT,Student's T-test Significant M_MUT_F_MUT,2502261_M_WT_HIP_P21,2502262_M_WT_HIP_P21,2502263_M_WT_HIP_P21,2502265_M_WT_HIP_P21,2502273_F_WT_HIP_P21,2502266_F_WT_HIP_P21,2502126_F_WT_HIP_P21,2502129_F_WT_HIP_P21,2502235_F_MUT_HIP_P21,2502236_F_MUT_HIP_P21,2502237_F_MUT_HIP_P21,2502281_M_MUT_HIP_P21,2502238_F_MUT_HIP_P21,2502285_M_MUT_HIP_P21,2502283_M_MUT_HIP_P21,2502284_M_MUT_HIP_P21,iBAQ,Intensity,MS/MS count,Razor + unique peptides,Mol. weight [kDa],Q-value,Score,Protein IDs,Majority protein IDs,Protein names
Bcas1,"0,1354753971","0,4045844728","0,6863894523",,"0,08279776573","0,2340454326","0,7424827586",,"0,1962618828","0,7645141193","0,7681203704",,"0,1435842514","0,3883663818","0,7554875",,"3,329514503","3,271525383","3,202919006","3,194020271","3,239559174","2,704348564","3,062174797","3,206849098","2,789134979","3,142865181","2,94116497","2,75821209","3,008575439","3,055883408","3,450304985","3,191677094",33296000,2554600000,46,11,"67,377",0,"118,72",Q80YN3;A2AVX1;E9Q8Q5;F7BNZ5,Q80YN3;A2AVX1;E9Q8Q5;F7BNZ5,Breast carcinoma-amplified sequence 1 homolog
Pgam5,"0,135363102","0,3402695996","0,6880628067",,"-0,1108322144","0,3476789862","0,7177083043",,"0,03410577774","0,1259952528","0,8818846893",,"-0,2120895386","0,5017012324","0,7620869565",,"-1,734685898","-1,631536484","-1,811135292","-1,430796623","-1,580305099","-1,688065529","-1,625433922","-1,850772858","-1,219268799","-1,606834412","-1,702362061","-1,760710716","-1,772783279","-1,392601013","-1,896116257","-2,100178719",626350,12527000,1,1,"31,994","0,00023425","3,1845",Q8BX10;A0A0G2JG95,Q8BX10;A0A0G2JG95,"Serine/threonine-protein phosphatase PGAM5, mitochondrial"
Mcf2l,"0,1353476048","0,9575721642","0,6815346198",,"0,0273194313","0,1522414256","0,8926409027",,"0,04373311996","0,1803804032","0,8643590876",,"-0,06429505348","1,063464584","0,808571683",,"-0,4525194168","-0,3000535965","-0,58157444","-0,2743844986","-0,5094747543","-0,3759117126","-0,313167572","-0,5849103928","-0,4280452728","-0,4934301376","-0,5483188629","-0,5273580551","-0,4229478836","-0,5670728683","-0,5235261917","-0,5319652557",283260,25338000,2,2,"27,82",0,"3,6823",F7BZ65;G3UX72;E9PXE2;F6ZFQ8;F6WPM5;F6VR53;D3YUF3;D3YUF4;G3UXP9;E9Q863;E9PY13;E9PY12;E9PXE1;E9QPM7;Q64096,F7BZ65;G3UX72;E9PXE2;F6ZFQ8;F6WPM5;F6VR53;D3YUF3;D3YUF4;G3UXP9;E9Q863;E9PY13;E9PY12;E9PXE1;E9QPM7;Q64096,Guanine nucleotide exchange factor DBS
Etnppl,"0,1346619129","0,172228214","0,7048866667",,"-0,1652343273","0,2773742852","0,6914248649",,"-0,006914615631","0,006147462494","0,9857052731",,"-0,3068108559","1,571029906","0,7738853503",,"-4,878832817","-3,536833763","-4,669037819","-4,373228073","-4,069604874","-3,862672806","-4,637599945","-4,860396385","-4,359633446","-4,01347065","-4,122467041","-4,639561653","-4,273765564","-4,33505249","-4,425423622","-4,596542358",59896,1737000,1,1,"54,865","0,00819","1,6516",E9PYH3;Q8BWU8,E9PYH3;Q8BWU8,Ethanolamine-phosphate phospho-lyase
Lin7b,"0,134241581","0,855974233","0,6768825467",,"0,001323699951","0,004231696094","0,9944421998",,"0,08309698105","0,4110913553","0,800022756",,"-0,04982089996","0,2068107949","0,857326087",,"-2,256457329","-2,135637283","-2,192885399","-2,033146858","-2,407515526","-2,223049164","-2,042421341","-2,277528763","-2,373092651","-2,315732002","-2,043714523","-2,282666206","-2,223270416","-2,375852585","-2,112914085","-2,383660316",4072900,65276000,4,3,"22,914",0,"16,003",O88951;A0A1B0GQX6,O88951,Protein lin-7 homolog B
Pgls,"0,1342227459","2,671384792","0,6802503008",,"-0,1588327885","2,081568299","0,6823155007",,"0,1174111366","2,590635191","0,7783630363",,"-0,1756443977","2,212783671","0,754732965",,"2,153880119","2,187972069","2,108028412","2,131699562","2,036090851","1,99808979","2,071080208","2,006674767","2,27340126","2,175936699","2,092019081","2,023377419","2,205909729","1,952526093","2,029913902","2,038871765",19417000,570570000,24,8,"27,254",0,"35,837",Q9CQ60;D3Z4X1;Q8CBG6;F6X8L5,Q9CQ60;D3Z4X1;Q8CBG6,6-phosphogluconolactonase
Egfr;Erbb4;Erbb2,"0,134036541","0,4543001569","0,6845772358",,"-0,1231925488","0,2413290204","0,7206816143",,"0,05985569954","0,1977599364","0,8438586957",,"-0,1973733902","0,4045327996","0,751440273",,"-3,07542038","-3,111227989","-2,972993851","-3,029838562","-3,064681053","-2,911326408","-3,440888405","-3,012007713","-2,501796722","-3,176372528","-2,983138084","-3,487887383","-3,27482605","-2,905613899","-3,288585663","-3,043540001",123220,7393000,2,2,"134,85",0,"5,277",Q01279;Q9WVF5;B2KGF7;P70424,Q01279;Q9WVF5;B2KGF7;P70424,Epidermal growth factor receptor;receptor protein-tyrosine kinase;Receptor tyrosine-protein kinase erbB-2
Isoc2a,"0,1339521408","0,9427996591","0,6804044444",,"-0,2048761845","1,02073754","0,6877556008",,"0,07549166679","0,3040944938","0,8175243488",,"-0,2633366585","1,988954068","0,7337068966",,"-0,8800573349","-0,7888326645","-0,79292202","-0,6562013626","-0,7079334259","-0,9687261581","-0,6847419739","-1,058578491","-0,6388235092","-0,66984272","-0,7537050247","-0,7964820862","-0,5381040573","-0,8984956741","-1,065576553","-0,8932676315",6175600,82986000,9,4,"22,417",0,"30,282",P85094,P85094,Isochorismatase domain-containing protein 2A
Clhc1,"0,1332087517","1,52997388","0,6802988506",,"0,1762526035","2,391802088","0,6897755102",,"-0,1113991737","1,369750478","0,7782318271",,"-0,06835532188","0,7909057889","0,7969810624",,"-0,6162939072","-0,5843811035","-0,4773540497","-0,6054754257","-0,4466485977","-0,3969717026","-0,539308548","-0,4549789429","-0,6592903137","-0,6556797028","-0,5594024658","-0,7012481689","-0,668545723","-0,6480178833","-0,8017272949","-0,6653461456",8101000,299740000,1,1,"68,105","0,0081934","1,6527",B7ZMV8;Q5M6W3,B7ZMV8;Q5M6W3,Clathrin heavy chain linker domain-containing protein 1
Hdgf,"0,1327691078","1,073331487","0,6781303867",,"0,1074860096","1,685042635","0,7234364896",,"0,03365373611","0,3768192185","0,8776013072",,"0,008370637894","0,04741182723","0,9803583093",,"1,074392319","1,202410698","1,123449326","1,081519127","1,116250992","1,138876915","1,025201797","1,06682682","0,9324731827","1,037301064","0,9946193695","0,9866380692","0,9528188705","1,13149929","0,9809265137","0,8516311646",2892800,210690000,9,4,"34,537",0,"23,432",A0AA74KSY4;P51859;E0CYW7;E0CXA0,A0AA74KSY4;P51859;E0CYW7;E0CXA0,Hepatoma-derived growth factor
Pgm3,"0,1323289871","1,376043048","0,6822302483",,"-0,008870601654","0,04603797229","0,9654297304",,"0,03628897667","0,2849390741","0,8728578183",,"-0,1049106121","0,7870101732","0,7530496046",,"-0,3075723648","-0,1478042603","-0,2165775299","-0,1700229645","-0,1583461761","-0,3257112503","-0,2038621902","-0,2992134094","-0,3280200958","-0,2052879333","-0,3206262589","-0,4318408966","-0,09771633148","-0,26151371","-0,3714065552","-0,3065319061",1866200,54120000,7,5,"54,989",0,"18,761",Q8BWW3;Q9CYR6,Q8BWW3;Q9CYR6,Phosphoacetylglucosamine mutase
Ano10,"0,1322238445","0,1738085206","0,7096217105",,"0,04339599609","0,0650930253","0,8554468085",,"0,04774641991","0,07537107269","0,8672748368",,"-0,04108142853","0,04741863193","0,8981056511",,"-3,342033386","-4,129709244","-3,775678635","-4,185271263","-4,050091743","-3,771613121","-3,648004532","-4,153968811","-3,434328079","-3,849482536","-4,404368401","-3,719176292","-4,109083176","-4,584695816","-4,068151474","-3,589564323",378680,5680200,1,1,"55,258","0,00023299","3,1238",A0A1L1SV36;Q8BH79-2;Q8BH79;Q8BH79-4,A0A1L1SV36;Q8BH79-2;Q8BH79;Q8BH79-4,Anoctamin;Anoctamin-10
Tenm3,"0,1321575642","0,269625686","0,7000840183",,"0,06240820885","0,1259235107","0,7881424741",,"-0,2201006413","0,5538424335","0,739742268",,"-0,2898499966","0,6931436774","0,7276747967",,"-4,038158417","-3,377291679","-3,910761833","-3,402960777","-3,329516411","-3,492337227","-3,376446724","-3,65046978","-3,359423637","-3,340051651","-3,360237122","-4,096810341","-4,038690567","-3,871131897","-3,650219917","-3,639640808",178190,41466000,3,3,"300,98",0,"15,721",B7ZNJ5;G3X907;Q9WTS6-2;Q9WTS6-3;Q9WTS6-4;Q9WTS6-6;Q9WTS6-8;Q9WTS6;Q9WTS6-5;Q9WTS6-7;D3YW49,B7ZNJ5;G3X907;Q9WTS6-2;Q9WTS6-3;Q9WTS6-4;Q9WTS6-6;Q9WTS6-8;Q9WTS6;Q9WTS6-5;Q9WTS6-7,Teneurin-3
Ssrp1,"0,1320610046","1,104533953","0,6757286652",,"-0,04809975624","0,2591014647","0,8167120419",,"0,02779722214","0,1306509022","0,903139772",,"-0,1523635387","1,426286295","0,7514648649",,"-0,6157112122","-0,4999732971","-0,6361942291","-0,567199707","-0,5684280396","-0,468791008","-0,5756111145","-0,8174371719","-0,5253629684","-0,5721006393","-0,5378599167","-0,6576919556","-0,6025447845","-0,5843820572","-0,8067827225","-0,7984657288",696180,55271000,4,3,"71,527",0,"11,129",A2AW05;Q08943;Q08943-2,A2AW05;Q08943;Q08943-2,FACT complex subunit SSRP1
Rpgr,"0,1319336891","1,326519104","0,6819619261",,"0,1464250088","1,473066498","0,687990676",,"-0,07925510406","0,9034571053","0,798923463",,"-0,06476378441","0,4855821992","0,8115115974",,"-2,144359589","-2,078855515","-2,136360168","-1,989909172","-2,075364113","-2,014635086","-1,99584198","-1,946622849","-2,25785923","-2,147660255","-2,03438282","-2,308319092","-2,178261757","-2,22467804","-2,117073059","-2,22714901",171600,23087000,2,3,"111,8","0,0021487","2,1868",Q9R0X5;Q9R0X5-5;Q8CDM3;A0A067XG46;Q9R0X5-4;Q9R0X5-3;Q9R0X5-2;Q3UTY5;A2ADP5;Q3UWJ5;A2ADP2,Q9R0X5;Q9R0X5-5;Q8CDM3;A0A067XG46;Q9R0X5-4;Q9R0X5-3;Q9R0X5-2,X-linked retinitis pigmentosa GTPase regulator
Qki,"0,1316661835","1,468727016","0,6830315315",,"-0,03507900238","0,1987187018","0,8615798115",,"0,08773970604","0,6422528663","0,7829611452",,"-0,07900547981","0,7134875485","0,7710929752",,"0,4365062714","0,428902626","0,4625120163","0,3752412796","0,4511156082","0,1592493057","0,3588781357","0,3829603195","0,4437093735","0,3727369308","0,295083046","0,1608810425","0,3809900284","0,3471975327","0,3363637924","0,3320550919",3498100,192170000,5,4,"35,226",0,"17,248",Q9QYS9-8;Q9QYS9-4;Q9QYS9-3;Q9QYS9-6;Q9QYS9-2;Q9QYS9;Q9QYS9-7;A0A3B2WCH2;Q9QYS9-5,Q9QYS9-8;Q9QYS9-4;Q9QYS9-3;Q9QYS9-6;Q9QYS9-2;Q9QYS9;Q9QYS9-7;A0A3B2WCH2;Q9QYS9-5,KH domain-containing RNA-binding protein QKI
Srpra,"0,1314985752","1,695570638","0,681047619",,"0,031478405","0,08783974987","0,8809484298",,"-0,02447080612","0,07763141717","0,9216586207",,"-0,1244909763","0,8125983438","0,7530915819",,"-1,1173563","-1,015807152","-1,12461853","-1,050404549","-1,150808334","-1,200886726","-0,7244195938","-1,134188652","-0,9105529785","-1,105661392","-1,246718407","-1,240068436","-1,073284149","-1,280714035","-1,180850029","-1,132548332",3080600,12322000,1,1,"15,762","0,0072344","1,7633",A0A1L1SSI7;Q9DBG7,A0A1L1SSI7;Q9DBG7,Signal recognition particle receptor subunit alpha
Rgs7bp,"0,1313767433","1,123935757","0,6772840044",,"0,1541588306","1,371019383","0,6890392902",,"0,008934497833","0,04682970123","0,9748876377",,"0,03171658516","0,2385510895","0,9039237519",,"-0,5407714844","-0,3023080826","-0,3405666351","-0,3712043762","-0,5060768127","-0,3936948776","-0,3073234558","-0,3834934235","-0,6080369949","-0,4578285217","-0,6430358887","-0,6046361923","-0,4983224869","-0,4762239456","-0,5290870667","-0,470410347",2666800,34669000,1,1,"29,023",0,"12,278",Q8BQP9,Q8BQP9,Regulator of G-protein signaling 7-binding protein
Ctsd;Gm49369,"0,1313188076","1,376823661","0,6824392419",,"-0,07202076912","0,6479169341","0,7526263479",,"0,07562589645","0,7346116236","0,8119665072",,"-0,1277136803","1,25825877","0,7563746224",,"3,393157005","3,534136772","3,330764771","3,41048336","3,339939117","3,344452858","3,406838417","3,27480793","3,517087936","3,356991768","3,318360329","3,256943703","3,461681366","3,369842529","3,258849144","3,257631302",23975000,1561300000,43,11,"44,215",0,"62,494",F8WIR1;P18242;F6Y6L6;A0A1B0GT66,F8WIR1;P18242;F6Y6L6;A0A1B0GT66,Cathepsin D
Rps15,"0,1311798096","2,199069901","0,6797293578",,"-0,09164428711","0,7122232103","0,7202442205",,"0,09034132957","0,9526683645","0,7828335745",,"-0,1324827671","1,389273793","0,7547096774",,"0,9306182861","0,9078493118","0,8775243759","0,921374321","0,9107885361","0,8255348206","0,6884231567","0,8512544632","1,015264511","0,9264669418","0,8178062439","0,853351593","0,8830404282","0,7186164856","0,7960481644","0,7446308136",18419000,132540000,6,2,"13,742",0,"5,9907",D3YTQ9;P62843,D3YTQ9;P62843,40S ribosomal protein S15;Small ribosomal subunit protein uS19
Arl8a;Arl8b,"0,1304678917","1,103886702","0,6754775161",,"-0,09537959099","0,4579734302","0,7225033193",,"0,09866380692","0,5346780296","0,7830896337",,"-0,1271836758","0,8818908837","0,7548565891",,"1,360604286","1,492316246","1,340763092","1,552908897","1,233495712","1,234593391","1,521735191","1,362112999","1,601722717","1,292494774","1,397147179","1,38308239","1,442090988","1,324028969","1,299485207","1,21812439",9144700,368610000,11,6,"18,756",0,"56,364",F6QKK2;Q8VEH3;A0A0N4SVB8;Q9CQW2,F6QKK2;Q8VEH3;A0A0N4SVB8;Q9CQW2,ADP-ribosylation factor-like protein 8A;ADP-ribosylation factor-like protein 8B
Clip3,"0,1304371357","0,4738349477","0,6885804541",,"-0,07774424553","0,3182748319","0,7494780511",,"0,01568651199","0,04313134093","0,9578186583",,"-0,1924948692","0,9772938016","0,7534047619",,"-1,823154449","-1,879006386","-1,630162239","-1,380839348","-1,700940132","-1,711863518","-1,822405815","-1,540699005","-1,627784729","-1,430252075","-1,841264725","-1,920622826","-1,565629959","-1,694791794","-1,876976967","-1,742519379",400960,17588000,2,2,"8,9548",0,"6,1265",D3YXY6;D3Z2W8;D3Z115;B9EHT4,D3YXY6;D3Z2W8;D3Z115;B9EHT4,CAP-Gly domain-containing linker protein 3
Smap2,"0,1304366589","1,336980144","0,6769858233",,"0,08022093773","1,047934675","0,7368320169",,"0,02712082863","0,1858981186","0,9031087152",,"-0,0230948925","0,3049527963","0,9360145333",,"0,09834671021","0,2159013748","0,03753948212","0,2278308868","0,127620697","0,02001476288","0,1659173965","0,157582283","0,05118560791","0,03074741364","-0,01614761353","-0,04376506805","0,08446598053","0,05312919617","0,0539932251","-0,005485534668",2584100,54450000,4,3,"27,633",0,"6,7444",Q7TN29-2;Q7TN29,Q7TN29-2;Q7TN29,Stromal membrane-associated protein 2
Rhog,"0,1302568913","1,203691638","0,6762755651",,"0,03660058975","0,1517633669","0,8614234788",,"0,1138913631","0,7898625404","0,7784960938",,"0,02023506165","0,09033167438","0,9497376344",,"0,8523693085","0,8284339905","0,7542276382","0,7920036316","0,8453445435","0,5885572433","0,7700471878","0,5675201416","0,4714412689","0,6988677979","0,7339735031","0,5898265839","0,7207841873","0,585562706","0,7968378067","0,7337799072",16755000,242830000,11,7,"21,308",0,"50,312",P84096;A0A1B0GSL4,P84096,Rho-related GTP-binding protein RhoG
Nmral1,"0,1302468777","1,891787702","0,6824791901",,"0,005119085312","0,02512164455","0,9795632663",,"0,08806180954","1,337395965","0,7818933902",,"-0,03706598282","0,208270853","0,8893558673",,"0,1075973511","0,1354598999","0,1010246277","0,06486606598","-0,03793621063","-0,03837680817","0,09201335907","0,04100036621","0,01576900482","0,1400108337","-0,1579647064","-0,09223461151","0,03840923309","0,02389907837","-0,08182811737","0,03812408447",122670,66027000,4,3,"33,081",0,"16,073",D3YU12;Q8K2T1;G5E8S7;Q8K2T1-2;Q8K2T1-3,D3YU12;Q8K2T1;G5E8S7;Q8K2T1-2,NmrA-like family domain-containing protein 1
Slc1a4,"0,130222559","1,465355255","0,6749901639",,"-0,00789642334","0,04420159109","0,9692357261",,"0,1290378571","1,372878207","0,7784157442",,"-0,009081125259","0,0529728443","0,9775963303",,"-0,4773874283","-0,5479297638","-0,5983190536","-0,5357093811","-0,6986112595","-0,696313858","-0,541305542","-0,7392663956","-0,554942131","-0,6697492599","-0,7712945938","-0,5485095978","-0,6479253769","-0,7099285126","-0,7001857758","-0,7216119766",6023500,244830000,7,2,"56,061",0,"66,516",O35874;Q5SSP3,O35874;Q5SSP3,Neutral amino acid transporter A;Amino acid transporter
Vps45,"0,1290359497","1,514788654","0,6765134844",,"0,03442692757","0,3138866933","0,8616131587",,"-0,0226957798","0,1746620544","0,9230374821",,"-0,1173048019","1,533221747","0,7510785525",,"0,6474323273","0,8064870834","0,677444458","0,7463703156","0,7103939056","0,8431415558","0,7369289398","0,6780529022","0,7942886353","0,6635570526","0,6811323166","0,5987844467","0,6918315887","0,5968561172","0,513171196","0,6527786255",5242500,166270000,8,7,"65,052",0,"29,175",P97390,P97390,Vacuolar protein sorting-associated protein 45
Pcbd2,"0,1285266876","0,5067585665","0,689404878",,"-0,006239414215","0,0356600607","0,9753549895",,"0,1060168743","0,4516070289","0,7842991597",,"-0,02874922752","0,1399512737","0,9203935578",,"-1,69699192","-1,707464218","-2,002516747","-2,011667252","-2,000418663","-1,787829399","-2,033156395","-2,021303177","-1,999876976","-1,936609268","-1,959597588","-2,096853256","-1,921666145","-1,981869698","-1,768947601","-2,085076332",2751600,38107000,3,2,"11,74","0,00023245","3,1075",A0A0R4J1R7;Q9CZL5,A0A0R4J1R7;Q9CZL5,4a-hydroxytetrahydrobiopterin dehydratase;Pterin-4-alpha-carbinolamine dehydratase 2
Chchd4,"0,127779007","0,5951352474","0,6889209486",,"0,005476713181","0,02025610012","0,9781752434",,"0,08232617378","0,4590406444","0,7989363579",,"-0,03997612","0,1368667129","0,8853929381",,"-0,09240913391","-0,1052656174","-0,2020950317","0,03185653687","-0,1928730011","-0,0623998642","-0,350317955","-0,09162712097","-0,02514743805","-0,2540102005","-0,3150587082","-0,3694267273","-0,1249084473","-0,06527137756","-0,06525707245","-0,3790740967",9212000,126280000,5,2,"15,525",0,"7,9911",Q8VEA4,Q8VEA4,Mitochondrial intermembrane space import and assembly protein 40
Tmco1,"0,1275839806","0,5925907253","0,6872999017",,"0,01729083061","0,1486791983","0,9331024516",,"0,05074882507","0,496048291","0,8565048544",,"-0,05954432487","0,2403824318","0,8346026624",,"-0,07282733917","-0,02178955078","0,0703420639","-0,08444404602","-0,1534643173","-0,03394794464","-0,02241611481","-0,1018857956","-0,03091812134","-0,157040596","-0,1430921555","-0,317199707","-0,04982662201","-0,2652778625","-0,1465377808","0,109960556",10927000,87413000,4,2,"22,283",0,"7,2294",A0A0A6YVS2;Q921L3,A0A0A6YVS2;Q921L3,Calcium load-activated calcium channel
Zranb2,"0,1274187565","0,8719159153","0,6853006135",,"0,00651049614","0,0187231072","0,975483419",,"0,09811306","0,4277216923","0,7838606061",,"-0,02279520035","0,08750246627","0,9411497664",,"-0,06629276276","0,1183595657","-0,08979034424","0,03081893921","0,1552457809","-0,2570114136","-0,1876134872","-0,1099777222","0,02436733246","-0,005424499512","-0,3102378845","-0,1231460571","-0,134103775","-0,04230690002","-0,06201839447","-0,2891082764",9948800,133880000,3,1,"23,696","0,00022512","2,726",A0A0H2UH20;E9PUD0;D3Z4U0;Q9R020-2;Q9R020,A0A0H2UH20;E9PUD0;D3Z4U0;Q9R020-2;Q9R020,Zinc finger Ran-binding domain-containing protein 2
Kif21b,"0,1274034977","1,372087131","0,680164557",,"-0,08782315254","0,8464339807","0,7210666667",,"0,07260942459","0,866637624","0,8159884326",,"-0,1426172256","1,302529756","0,7508968825",,"2,397719383","2,452040672","2,275608063","2,346503258","2,298841476","2,346575737","2,256340981","2,279675484","2,505418777","2,40878582","2,281323433","2,221241951","2,337198257","2,329515457","2,236439705","2,175060272",350340,318640000,10,3,"181,4",0,"6,298",F8VQE2;E9Q0A4;Q9QXL1;F6ZSF2;E9QMU1;J3QNW9;B7ZNG0-2;B7ZNG0;Q7M6Z4,F8VQE2;E9Q0A4;Q9QXL1,Kinesin-like protein KIF21B
Kndc1,"0,1270165443","0,8795026258","0,6853279022",,"0,07474756241","0,3635304589","0,7519661336",,"0,03769803047","0,2052273617","0,8724140758",,"-0,01457095146","0,05784914101","0,9643361259",,"-1,422265053","-1,483831406","-1,602707863","-1,644303322","-1,517648697","-1,461239815","-1,675794601","-1,649216652","-1,845549583","-1,564419746","-1,673208237","-1,704226494","-1,519712448","-1,698896408","-1,74443531","-1,513615608",227670,20108000,3,3,"191,31",0,"7,4927",Q0KK55;Q0KK55-3,Q0KK55,Kinase non-catalytic C-lobe domain-containing protein 1
Higd1a,"0,1264677048","1,028539782","0,6861683778",,"-0,02943634987","0,2229152619","0,8817002599",,"0,04903888702","0,3202014439","0,8596146341",,"-0,1068651676","1,084051958","0,7502115529",,"-0,9610280991","-0,7196035385","-0,8319149017","-0,7428178787","-0,8767614365","-0,9216098785","-0,7620334625","-0,8911151886","-0,8560123444","-0,7158918381","-0,8702659607","-0,8683662415","-0,8916044235","-0,9121990204","-0,9624938965","-1,018176079",26022000,89826000,2,1,"6,91",0,"31,406",A0A1L1SR69;A0A1L1ST61;A0A1L1SV00;Q8R472;Q9JLR9,A0A1L1SR69;A0A1L1ST61;A0A1L1SV00;Q8R472;Q9JLR9,"HIG1 domain family member 1A, mitochondrial"
Ckmt1,"0,1262700558","1,09504626","0,6864881565",,"0,1243879795","0,9633870602","0,7095215827",,"0,04174804688","0,2479385472","0,8670479651",,"0,03986597061","0,2906604716","0,8772353329",,"4,038681984","4,18824482","3,942064285","4,040877342","4,041452408","4,127139091","3,946270943","3,928013802","3,76376152","3,863696098","3,938567162","3,941929817","3,979299545","4,005289078","3,905129433","3,85243988",87680000,6320100000,80,14,"47,003",0,"203,92",P30275;A2ARP5;B0R0E8;B0R0E9;B0R0F0,P30275;A2ARP5,"Creatine kinase U-type, mitochondrial"
Srp19,"0,1262667179","0,6580766525","0,6874593536",,"-0,1370642185","0,4364791225","0,6979277108",,"0,1675772667","0,7194039225","0,7717692308",,"-0,09575366974","0,3303554632","0,7446826979",,"-1,415402412","-1,528963089","-1,327001572","-1,2497015","-1,445360184","-1,796420097","-1,594836235","-1,354761124","-1,106405258","-1,532024384","-1,501649857","-1,560881615","-1,503041267","-1,513553619","-1,311803818","-1,639896393",476320,51019000,4,2,"16,094",0,"18,09",Q9D104;D6RHP8;G5E8T3;Q9D7A6,Q9D104;D6RHP8;G5E8T3;Q9D7A6,Signal recognition particle 19 kDa protein
Rps28,"0,1261065006","0,5242968711","0,6917938931",,"-0,04602646828","0,2227400745","0,8286712235",,"0,1208417416","0,6010265514","0,7792919255",,"-0,05129122734","0,2014877522","0,853313783",,"0,4146337509","0,6231565475","0,2101306915","0,3866443634","0,3259057999","0,2559394836","0,184803009","0,3845500946","0,5292482376","0,3464975357","0,2283430099","0,2748279572","0,231215477","0,3104429245","0,4466667175","0,09820175171",63575000,222710000,3,1,"6,3442",0,"24,672",G3UYV7;P62858,G3UYV7;P62858,Small ribosomal subunit protein eS28
Ezr,"0,1259024143","1,786841422","0,6787844374",,"0,06192231178","0,8062106379","0,7759864865",,"0,00778055191","0,08364322194","0,9779801308",,"-0,05619955063","0,6359226735","0,8346065969",,"2,914492607","2,9064188","2,867805481","2,813967705","2,916418076","2,877301216","2,799283028","2,878560066","2,746240616","2,883292198","2,78051281","2,82870388","2,813827515","2,710477829","2,694252968","2,765640259",11091000,1001000000,38,16,"69,406",0,"68,437",P26040,P26040,Ezrin
Rimbp2,"0,1258075237","1,513918374","0,6840334378",,"0,008196353912","0,02856854626","0,9693074188",,"0,1118950844","0,5693163366","0,7796814815",,"-0,005716085434","0,03477273184","0,9827612602",,"-0,5689134598","-0,5422859192","-0,6560811996","-0,5876560211","-0,5989465714","-0,934885025","-0,5331363678","-0,7355489731","-0,7688217163","-0,685092926","-0,5987195969","-0,6028985977","-0,7826681137","-0,7629413605","-0,7533988953","-0,7389278412",175340,57710000,6,3,"110,89",0,"14,783",A0A0G2JGW5;A0A0G2JFB0;D3YXR8;A0A571BDA2;Q80U40-2;Q80U40,A0A0G2JGW5;A0A0G2JFB0;D3YXR8;A0A571BDA2;Q80U40-2;Q80U40,RIMS-binding protein 2
Prdx5,"0,1255538464","1,417148918","0,6854095634",,"0,08904147148","1,67455251","0,7222867384",,"0,04677724838","0,8281232122","0,8605477245",,"0,0102648735","0,07728845609","0,972283134",,"4,637423515","4,727143288","4,64094162","4,693074226","4,635126114","4,64136219","4,659287453","4,575697899","4,481586456","4,570584297","4,525527","4,58576107","4,577610016","4,565721512","4,618292809","4,426591873",239050000,10551000000,83,11,"17,015",0,"84,701",P99029-2;P99029;G3UZJ4;H3BJQ7;A0A494BAZ4,P99029-2;P99029;G3UZJ4;H3BJQ7;A0A494BAZ4,"Peroxiredoxin-5, mitochondrial;thioredoxin-dependent peroxiredoxin;Peroxiredoxin-5"
Slc25a18,"0,125120163","0,9196647093","0,6913480885",,"0,05840754509","0,2277575582","0,7878984225",,"0,05786180496","0,492151487","0,8407190388",,"-0,008850812912","0,0270558768","0,9798049015",,"0,1287088394","0,1511249542","-0,04072666168","-0,01266479492","-0,003389358521","-0,02411842346","0,06251525879","-0,04001235962","0,188867569","0,01592159271","-0,2506351471","-0,05286502838","-0,1927890778","0,04611587524","-0,1931676865","-0,07412147522",3781000,98742000,10,8,"33,304",0,"72,542",Q9DB41-2;Q9DB41,Q9DB41-2;Q9DB41,Mitochondrial glutamate carrier 2
Nubp1,"0,1247534752","1,337138168","0,6855696721",,"-0,142168045","1,032064065","0,6939130435",,"0,253387928","1,842293627","0,7022413793",,"-0,01353359222","0,111785298","0,9650763012",,"-0,811460495","-0,8235931396","-0,7064781189","-0,8450927734","-1,14276123","-1,164936066","-1,022462845","-0,870016098","-0,9421377182","-0,8708734512","-0,9500951767","-0,8890275955","-0,8683977127","-0,9673318863","-0,827999115","-1,001279831",1589200,15892000,1,1,"34,085","0,00022805","2,8957",Q9R060,Q9R060,Cytosolic Fe-S cluster assembly factor NUBP1
