Gene names,Log2FC_M_WT_M_MUT,negLog10pVal_M_WT_M_MUT,q-value M_WT_M_MUT,Student's T-test Significant M_WT_M_MUT,Log2FC_F_WT_F_MUT,negLog10pVal_F_WT_F_MUT,q-value F_WT_F_MUT,Student's T-test Significant F_WT_F_MUT,Log2FC_M_WT_F_WT,negLog10pVal_M_WT_F_WT,q-value M_WT_F_WT,Student's T-test Significant M_WT_F_WT,Log2FC_M_MUT_F_MUT,negLog10pVal_M_MUT_F_MUT,q-value M_MUT_F_MUT,Student's T-test Significant M_MUT_F_MUT,250262_M_WT_PFC_8w,250263_M_WT_PFC_8w,250264_M_WT_PFC_8w,250297_M_WT_PFC_8w,250265_F_WT_PFC_8w,250266_F_WT_PFC_8w,250267_F_WT_PFC_8w,250293_F_WT_PFC_8w,250271_F_MUT_PFC_8w,250272_F_MUT_PFC_8w,250273_F_MUT_PFC_8w,250268_M_MUT_PFC_8w,2502143_F_MUT_PFC_8w,250269_M_MUT_PFC_8w,250270_M_MUT_PFC_8w,250244_M_MUT_PFC_8w,Log2 iBAQ,Log2 Intensity,MS/MS count,Razor + unique peptides,Q-value,Score,Mol. weight [kDa],Protein IDs,Majority protein IDs,Protein names
Ubl4a,"0,05695676804","0,3873076722","0,9239077038",,"-0,04205179214","0,199033833",1,,"0,004313707352","0,0171084956",1,,"-0,09469485283","0,7555338901",1,,"-0,9811239243","-1,030613899","-1,147697449","-0,9310779572","-0,9654989243","-0,9725141525","-1,24034214","-0,9294128418","-1,088528633","-1,003184319","-0,8832578659","-0,9741334915","-0,9645900726","-1,141684532","-1,038377762","-1,164144516",18137000,1242000000,9,5,0,"19,459","17,8",P21126;F8WHM4,P21126,Ubiquitin-like protein 4A
Elfn1,"0,05694413185","0,1598564956","0,9308585643",,"0,07283520699","0,3797508719",1,,"-0,1070418358","0,7293796742",1,,"-0,09115076065","0,2605916068",1,,"-1,879532814","-1,920736313","-1,840475082","-1,884592056","-1,8805933","-1,772527695","-1,866627693","-1,577420235","-1,823285103","-1,728286743","-1,904232979","-1,985640526","-1,932704926","-2,207650185","-1,559762955","-2,000059128",3464100,128170000,2,1,"0,00058366","2,6818","90,814",Q8C8T7,Q8C8T7,Protein ELFN1
Pdk3,"0,05692696571","0,4991422066","0,9249169485",,"0,1023306847","1,238851369",1,,"-0,03435111046","0,3992460537",1,,"0,01105260849","0,06982035367","0,9972246809",,"1,45212841","1,399651527","1,48712635","1,34170723","1,405644417","1,455935478","1,450178146","1,506259918","1,292551041","1,361898422","1,457531929","1,391844749","1,296713829","1,414868355","1,40628624","1,239906311",22732000,1238400000,14,9,0,"53,475","47,922",Q922H2,Q922H2,"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 3, mitochondrial"
Inpp1,"0,05689501762","0,2785086391","0,9260917431",,"0,005960226059","0,06564677938",1,,"0,02768063545","0,6376930907",1,,"-0,02325415611","0,09641620251",1,,"0,6293754578","0,6551733017","0,7139139175","0,6903152466","0,6695833206","0,6277399063","0,6437597275","0,6369724274","0,6424589157","0,6374540329","0,713104248","0,4836626053","0,5611972809","0,6409950256","0,4976358414","0,8389043808",7551200,1468500000,11,8,0,"45,179","43,346",P49442;E0CYQ4;E0CX64;H3BK26,P49442,Inositol polyphosphate 1-phosphatase
Vapa,"0,05687832832","0,8871908069","0,9211068035",,"0,05005717278","1,116380682",1,,"-0,0004584789276","0,008427379758","0,9996528388",,"-0,007279634476","0,07335560394","0,9966642127",,"3,079442024","3,102269173","3,065880775","3,093444824","3,089272499","3,08176136","3,045875549","3,125961304","3,037742615","3,043003082","3,071246147","3,064620972","2,990650177","2,971870422","2,978866577","3,098165512",29017000,14920000000,41,15,0,"105,46","27,855",Q9WV55;A0A3B2W837,Q9WV55;A0A3B2W837,Vesicle-associated membrane protein-associated protein A
Stambp,"0,05686664581","0,3277696334","0,9238066421",,"-0,1113848686","1,280784309",1,,"0,08747768402","0,9293771297",1,,"-0,08077383041","0,5102132549",1,,"0,5172204971","0,5229606628","0,5581598282","0,4727087021","0,362033844","0,3688955307","0,5543718338","0,4358377457","0,5562086105","0,5080337524","0,5611381531","0,3409805298","0,5412979126","0,6031341553","0,3340082169","0,5654602051",2395100,258310000,6,5,0,"30,219","48,513",Q9CQ26,Q9CQ26,STAM-binding protein
Mapk10,"0,05663371086","1,118835555","0,921",,"0,02838778496","0,237490157",1,,"0,02532839775","0,3168678158",1,,"-0,002917528152","0,02283541609",1,,"2,003052711","1,945115089","2,015442848","1,999048233","1,904837608","2,005417824","2,027166367","1,923923492","1,90955162","2,01594162","1,978100777","1,989807129","1,844200134","1,892244339","1,943319321","1,91075325",46240000,4361400000,26,14,0,"74,56","48,487",Q80W82;Q3TQZ7;Q8C9D4;A0A5F8MP75;E9QN59;Q80W80;Q61831-2;Q61831;A0A0G2JGL2;A0A0G2JG69;A0A0G2JEJ8,Q80W82;Q3TQZ7;Q8C9D4;A0A5F8MP75;E9QN59;Q80W80;Q61831-2;Q61831,Stress-activated protein kinase JNK;Mitogen-activated protein kinase 10
Vars1,"0,05662369728","1,073914585","0,9211665399",,"0,09593367577","1,581682574",1,,"-0,02088665962","0,2223793013",1,,"0,01842331886","0,4045816482",1,,"1,546153069","1,513417244","1,546916008","1,444681168","1,50980854","1,507687569","1,620332718","1,4968853","1,453205109","1,397409439","1,466898918","1,422943115","1,433465958","1,483661652","1,469537735","1,448530197",5424800,2588700000,24,17,0,"78,342","140,21",Q9Z1Q9;G3UY93;G3UZ22;G3UYW2;G3UZX1,Q9Z1Q9;G3UY93,Valine--tRNA ligase;valine--tRNA ligase
Etnk1,"0,05657792091","0,2066372792","0,9303780664",,"-0,0849673748","0,3160373623",1,,"0,0560336113","0,1620777243",1,,"-0,08551168442","0,4602903984",1,,"-1,071865082","-0,9564409256","-0,7275085449","-0,7672147751","-0,6845769882","-0,9395551682","-0,9211988449","-1,201832771","-0,7622976303","-0,8002891541","-0,9097614288","-1,074150085","-0,9349460602","-0,8285017014","-1,050291061","-0,7963981628",6887000,96418000,2,2,0,"9,8987","38,32",A0A0N4SV10;A0A0N4SVC4;Q9D4V0,A0A0N4SV10;A0A0N4SVC4;Q9D4V0,ethanolamine kinase;Ethanolamine kinase 1
Phyhip,"0,05655121803","1,194477306","0,92135059",,"0,07054209709","0,633790947",1,,"-0,07727026939","0,9142454776",1,,"-0,06327939034","0,7827967055",1,,"2,842261314","2,84943676","2,828806877","2,790172577","2,806687355","2,887282372","3,003631592","2,922157288","2,934297562","2,802780151","2,816603661","2,801826477","2,783908844","2,783683777","2,708652496","2,790309906",265830000,16250000000,36,13,0,"91,127","37,554",Q8K0S0;E0CXJ1,Q8K0S0,Phytanoyl-CoA hydroxylase-interacting protein
Ntrk3,"0,05653619766","0,3797017516","0,9233865484",,"-0,02535748482","0,1062849451",1,,"0,06497144699","0,4512409855",1,,"-0,01692223549","0,0684776855",1,,"-0,806555748","-0,9584903717","-0,9286174774","-0,9043569565","-0,951335907","-0,9444513321","-1,11534214","-0,8467769623","-1,116555214","-0,8187732697","-0,8467903137","-0,8546380997","-0,974357605","-1,012342453","-0,8711662292","-1,086018562",1049500,260450000,4,4,0,"18,587","92,759",Q6VNS1;A0A0A6YWF9;A0A0A6YWL7;Q6VNS1-2;Q6VNS1-3,Q6VNS1;A0A0A6YWF9;A0A0A6YWL7;Q6VNS1-2;Q6VNS1-3,NT-3 growth factor receptor;Tyrosine-protein kinase receptor
Tax1bp1,"0,05652713776","0,1299892995","0,9297503467",,"-0,03464198112","0,1018974176",1,,"0,04087710381","0,123843346",1,,"-0,05029201508","0,1133690029",1,,"-1,11046505","-1,285220146","-1,115345001","-1,280231476","-1,266021729","-1,127410889","-1,542860985","-1,018476486","-1,345780373","-1,160247803","-1,09873867","-1,087138176","-1,211435318","-1,190907478","-1,028118134","-1,711206436",4463600,205320000,3,3,0,"7,5944","93,629",Q3UKC1;D3Z152;D3Z715;D3Z213,Q3UKC1,Tax1-binding protein 1 homolog
Ndufa11,"0,05650520325","0,4895839827","0,9238627378",,"0,02774810791","0,0846165626",1,,"-0,02670454979","0,09980147659",1,,"-0,05546164513","0,2689845342",1,,"1,316090584","1,348946571","1,293530464","1,36214447","1,290211678","1,360613823","1,618848801","1,157855988","1,53087616","1,28801918","1,27279377","1,297872543","1,224848747","1,30892086","1,12845993","1,359437943",340330000,3036100000,13,5,0,"42,634","15,115",G5E814;Q9D8B4;A0A3B2W441;A0A3B2W4A5,G5E814;Q9D8B4,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 11
Ube2r2,"0,05648255348","0,4053232395","0,9234328027",,"0,0713789463","0,4195690692",1,,"-0,0498111248","0,390653948",1,,"-0,03491473198","0,1697439217",1,,"-0,8693561554","-0,9435949326","-0,9737768173","-0,9106864929","-0,9847640991","-0,9258623123","-0,7515239716","-0,836019516","-1,011956215","-1,061822891","-0,8906078339","-0,9626951218","-0,8192987442","-1,13560009","-0,8594532013","-0,965596199",22749000,269530000,3,3,0,"5,7555","27,166",Q6ZWZ2,Q6ZWZ2,Ubiquitin-conjugating enzyme E2 R2
Pck2,"0,05646133423","0,1819846642","0,9318585209",,"0,1295540333","1,304370312",1,,"-0,1220164299","1,213048157",1,,"-0,04892373085","0,1548245765",1,,"0,5697383881","0,4468755722","0,4745674133","0,494641304","0,6220569611","0,5466403961","0,7474765778","0,5577144623","0,5127754211","0,4178705215","0,53748703","0,3086872101","0,4875392914","0,2973642349","0,361582756","0,7923431396",17305000,1530600000,17,14,0,"125,23","73,417",A0A0R4J0G0;Q8BH04;A0A2I3BQL9;A0A2I3BS39;A0A2I3BRX1;A0A2I3BQC6;A0A2I3BQ75;Q9Z2V4,A0A0R4J0G0;Q8BH04;A0A2I3BQL9;A0A2I3BS39;A0A2I3BRX1,"phosphoenolpyruvate carboxykinase (GTP);Phosphoenolpyruvate carboxykinase [GTP], mitochondrial"
Ndufb8;Gm20538,"0,05645346642","0,4816150155","0,9236960894",,"0,01291251183","0,1167377841",1,,"0,04709076881","0,4834697423",1,,"0,003549814224","0,0239097655","0,9993476462",,"2,460997581","2,580752373","2,440028191","2,429262161","2,447451591","2,40803051","2,497058868","2,370136261","2,495702744","2,365621567","2,370747566","2,367036819","2,438955307","2,378715515","2,399320602","2,540153503",237440000,11821000000,23,6,0,"50,202","21,876",Q9D6J5;Q3V406;F6Z9R1;F6VCY0;E9Q9J5,Q9D6J5;Q3V406;F6Z9R1;F6VCY0;E9Q9J5,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 8, mitochondrial"
Lztfl1,"0,05641674995","0,6400468729","0,9248270677",,"0,03107357025","0,1698173472",1,,"0,02578663826","0,1425646401",1,,"0,0004434585571","0,00324295295","0,9992458015",,"0,8443031311","0,7507581711","0,763045311","0,70956707","0,7757968903","0,6505270004","0,6348495483","0,9033536911","0,7425079346","0,6265163422","0,6914606094","0,7661113739","0,779747963","0,6239643097","0,7074022293","0,7445287704",3000300,1025100000,5,4,0,"12,148","24,109",A0A1L1ST13;F6VG18;A0A1L1SSX7;Q9JHQ5;F6VTH5;E9Q9P1,A0A1L1ST13;F6VG18;A0A1L1SSX7;Q9JHQ5;F6VTH5,Leucine zipper transcription factor-like protein 1
Osbp2,"0,05637264252","0,3658374493","0,9237347089",,"-0,0323176384","0,1631823783",1,,"0,007051467896","0,04015053649",1,,"-0,08163881302","0,4528146756",1,,"-0,1681423187","-0,2970371246","-0,04303836823","-0,1555070877","-0,1640090942","-0,1831703186","-0,09487438202","-0,249876976","0,05905437469","-0,1523189545","-0,2318315506","-0,1262397766","-0,2375640869","-0,3292970657","-0,2043771744","-0,2293014526",2098500,196510000,4,4,0,"15,794","101,35",Q5QNQ6;Q5F210;Q5F209,Q5QNQ6,Oxysterol-binding protein 2
Tnr,"0,05632758141","1,706541576","0,9222040504",,"-0,02705359459","0,7109327357",1,,"0,02940201759","1,109479499",1,,"-0,0539791584","1,325727578",1,,"5,059763908","5,066636086","5,031060219","5,050258636","5,035571098","5,035485268","5,030796051","4,988258362","5,064863205","5,026302338","5,083004951","4,997461319","5,024154663","5,030328751","5,002077103","4,952541351",248650000,55617000000,140,42,0,"323,31","149,59",Q8BYI9;Q8BYI9-2;A0A0A6YWD9,Q8BYI9;Q8BYI9-2,Tenascin-R
Pfn2,"0,05632042885","0,7387641836","0,9230835214",,"-0,0001580715179","0,001006914693",1,,"0,01118779182","0,08729833498",1,,"-0,04529070854","0,4607301508",1,,"3,827013969","3,813328743","3,711478233","3,810014725","3,817694664","3,761775017","3,856765747","3,680849075","3,874744415","3,733047485","3,717209816","3,674055099","3,792715073","3,789648056","3,708360672","3,764490128",1298000000,17573000000,53,7,0,"45,367","15,032",Q9JJV2;D3YWS3;Q9JJV2-2;Q9JJV2-3,Q9JJV2;D3YWS3;Q9JJV2-2;Q9JJV2-3,Profilin-2;Profilin
Nova1,"0,05630064011","0,1616520978","0,9307024356",,"0,07164025307","0,2677470252",1,,"0,08260655403","0,3694461094",1,,"0,09794616699","0,2826450913",1,,"-0,6286268234","-0,4697122574","-0,2363233566","-0,2634153366","-0,4400901794","-0,4278993607","-0,5526456833","-0,5078687668","-0,7727251053","-0,3642148972","-0,3791160583","-0,4211130142","-0,6990089417","-0,3269348145","-0,3351345062","-0,7400979996",2011900,63053000,2,2,0,"5,4222","51,755",Q9JKN6,Q9JKN6,RNA-binding protein Nova-1
Hacd3,"0,05622410774","0,5845579401","0,9236010459",,"0,0245244503","0,226597551",1,,"0,01966547966","0,1629271031",1,,"-0,01203417778","0,1052114159","0,9995697624",,"1,937855721","1,833916664","1,94523716","1,969419479","1,900887489","1,837313652","2,001226425","1,868339539","1,950443268","1,856468201","1,866087914","1,880094528","1,836669922","1,801015854","1,826311111","1,954111099",33568000,3002400000,17,10,0,"52,463","43,131",Q8K2C9,Q8K2C9,Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 3
Bet1,"0,05621361732","0,3653819758","0,9239279412",,"0,06230449677","0,2970812317",1,,"-0,02254629135","0,1363702571",1,,"-0,01645541191","0,06441234947",1,,"-1,513321877","-1,435267448","-1,562403679","-1,384563446","-1,492822647","-1,540491104","-1,316156387","-1,455901146","-1,296506882","-1,614346504","-1,587213516","-1,508260727","-1,556522369","-1,522516251","-1,674107552","-1,41552639",49074000,147220000,2,2,0,"10,657","13,274",O35623,O35623,BET1 homolog
Idh2,"0,05614256859","0,349711395","0,9256129269",,"-0,005217790604","0,02250199203",1,,"0,0473959446","0,2643937826",1,,"-0,0139644146","0,06661103542","0,9960726954",,"2,138545036","1,99746418","1,953812599","1,91963768","2,104582787","1,86037159","1,975345612","1,879575729","2,101957321","1,838090897","1,916268349","1,802249908","1,984430313","1,984823227","1,97054863","2,027267456",35239000,9018000000,24,17,0,"60,109","50,906",P54071;D6RIL6;A0A0U1RP68;A0A0U1RPR1,P54071,"Isocitrate dehydrogenase [NADP], mitochondrial"
M6pr,"0,05612134933","1,041479926","0,9216528302",,"0,0636715889","0,6159273957",1,,"-0,05852627754","0,595277755",1,,"-0,05097603798","0,7850542921",1,,"-0,02460479736","0,07280540466","0,08738327026","0,087849617","0,1526241302","0,008234977722","0,1800575256","0,1166219711","0,002117156982","0,000376701355","0,06804656982","0,009006500244","0,132311821","0,009611129761","-0,01958560944","-8,39E-05",11575000,1332600000,7,4,0,"24,549","31,172",P24668,P24668,Cation-dependent mannose-6-phosphate receptor
Btbd8,"0,05605959892","0,1774642407","0,9291832979",,"-0,04983305931","0,3224972471",1,,"-0,02376675606","0,1729295588",1,,"-0,1296594143","0,4524831711",1,,"2,574812889","2,611474037","2,582371712","2,623502731","2,674851418","2,742617607","2,53679657","2,532962799","2,627065659","2,710525513","2,762545586","2,660388947","2,586423874","2,628782272","2,701383591","2,177368164",6535100,4749900000,39,28,0,"189,07","190,77",D3YUB6-3;D3YUB6;F7CG54;Q3TEG0;D3YUW2,D3YUB6-3;D3YUB6,BTB/POZ domain-containing protein 8
Vps53,"0,05591034889","0,753480963","0,9237573034",,"-0,001291036606","0,01368390085","0,9981120308",,"0,01325964928","0,1391553311",1,,"-0,04394173622","0,6519685271",1,,"1,54207325","1,581757545","1,545496941","1,453994751","1,462468147","1,522416115","1,577760696","1,507638931","1,576044083","1,51496315","1,473671913","1,527090073","1,51076889","1,446172714","1,422456741","1,503961563",5394700,1277800000,18,13,0,"62,837","94,422",Q8CCB4;E9PXG9;Q8CCB4-2;E9PWD1;E9PYD3;E9Q648;F6Z4G7;E9Q3C3,Q8CCB4;E9PXG9;Q8CCB4-2;E9PWD1,Vacuolar protein sorting-associated protein 53 homolog
Smap2,"0,05585074425","0,8632408262","0,9247347859",,"0,004794359207","0,04142118996",1,,"0,04053354263","0,4481598467",1,,"-0,01052284241","0,1224040331","0,9972849873",,"0,4899520874","0,4557142258","0,4089603424","0,4847841263","0,3985815048","0,3705396652","0,3819990158","0,5261564255","0,4677867889","0,3930988312","0,3972320557","0,388127327","0,3999814987","0,4677200317","0,3405637741","0,4195966721",18005000,1234500000,13,8,0,"61,859","46,577",Q7TN29;Q7TN29-2,Q7TN29;Q7TN29-2,Stromal membrane-associated protein 2
Sugt1,"0,05568909645","0,5023443462","0,9237060561",,"-0,03444647789","0,4771970323",1,,"0,02329659462","0,5063622784",1,,"-0,06683897972","0,5493889912",1,,"1,812310219","1,795926094","1,792466164","1,742490768","1,780333519","1,732001305","1,743505478","1,794166565","1,734220505","1,77822113","1,874070168","1,857704163","1,801280975","1,721422195","1,71938324","1,621927261",49155000,3949100000,34,13,0,"82,949","38,158",Q9CX34,Q9CX34,Protein SGT1 homolog
Nptn,"0,05568003654","0,2351155976","0,9312158273",,"0,1363890171","0,6977914303","0,9984364508",,"-0,05899071693","0,5250789148",1,,"0,02171826363","0,06190858665",1,,"4,479878426","4,601138115","4,618552208","4,468460083","4,615258217","4,683495522","4,521587372","4,583650589","4,380954742","4,595027924","4,627331734","4,618143082","4,255121231","4,459753036","4,617692947","4,24971962",837250000,41455000000,75,13,0,"89,88","44,373",P97300;H3BIX4;P97300-1;H3BKA7;P97300-4;A0A0A0MQN8,P97300;H3BIX4;P97300-1,Neuroplastin
Apmap,"0,0556781292","1,155035169","0,9233556643",,"0,06459927559","0,8665456739",1,,"-0,01369690895","0,2021244429",1,,"-0,004775762558","0,04573941205","0,9951670644",,"2,079964638","2,061825752","2,046092033","2,02148819","2,111208916","2,012568474","2,100667953","2,039712906","2,076938629","2,013559341","1,943074226","2,028907776","1,97218895","1,958845139","1,958539963","2,040365219",18920000,1788600000,16,10,0,"32,885","46,434",Q9D7N9,Q9D7N9,Adipocyte plasma membrane-associated protein
Nrxn2,"0,05561900139","0,2084366175","0,9316361042",,"0,07413339615","0,2167509597",1,,"0,008668661118","0,03141854587",1,,"0,02718305588","0,06695924312",1,,"-0,6664981842","-0,7037353516","-0,8174915314","-0,7675085068","-0,9735031128","-0,5696821213","-0,7968349457","-0,6498880386","-1,01669693","-0,5777196884","-0,7219686508","-0,5817775726","-0,9700565338","-0,8829813004","-0,6821641922","-1,030786514",716780,53759000,1,1,"0,0071174","1,4941","177,19",E9PUN0,E9PUN0,
Npl,"0,05549073219","0,1788898772","0,9299282196",,"0,1098163128","0,5549654883",1,,"-0,05690598488","0,455753194",1,,"-0,002580404282","0,006114050342",1,,"-1,909508705","-1,811879158","-1,819376945","-2,016795158","-1,765731812","-1,820811272","-1,908117294","-1,83527565","-1,968270302","-2,091801643","-2,017787933","-2,055498123","-1,6913414","-2,110040665","-1,994462967","-1,619521141",2006000,34102000,1,1,"0,00039432","2,8599","35,13",Q9DCJ9,Q9DCJ9,N-acetylneuraminate lyase
Arfgef2,"0,05547142029","0,7189024904","0,9232243685",,"-0,04790568352","0,3198092014",1,,"0,01439404488","0,1251529927",1,,"-0,08898305893","0,7259728418",1,,"1,421103477","1,426169395","1,380381584","1,459667206","1,357985497","1,464903831","1,485027313","1,321828842","1,57125473","1,353536606","1,396716118","1,354598999","1,499860764","1,301640511","1,347219467","1,461977005",1280300,1766800000,21,18,0,"74,668","202,24",A2A5R2;F6YCJ0,A2A5R2,Brefeldin A-inhibited guanine nucleotide-exchange protein 2
Khdrbs3,"0,0554318428","0,2348130054","0,9318736993",,"-0,07260704041","0,3911018421",1,,"-0,007845878601","0,04029693518",1,,"-0,1358847618","0,6100126823",1,,"1,211249352","1,18554306","0,9884290695","1,195590973","1,183156013","1,216961861","1,027563095","1,184514999","1,11700058","1,113557816","1,402741432","1,201284409","1,269324303","1,08646965","1,205668449","0,8656625748",65431000,2023800000,15,7,0,"33,685","38,807",Q9R226;A0A2R8VJR4;A0A2R8VHM1,Q9R226;A0A2R8VJR4,"KH domain-containing, RNA-binding, signal transduction-associated protein 3"
Tgfbrap1,"0,05532240868","0,2338062887","0,9319469914",,"0,1661214828","1,296739236","0,9853960217",,"-0,1788449287","1,110918725",1,,"-0,06804585457","0,3588087929",1,,"-2,138997078","-2,119523048","-1,952589035","-1,870430946","-1,733800888","-1,777259827","-1,887093544","-1,968006134","-2,021987915","-2,053164482","-1,883499146","-2,255656242","-2,071994781","-2,021313667","-1,925233841","-2,100625992",4782200,189010000,7,6,0,"22,081","97,302",Q3UR70;A0A087WQF3;A0A087WR01;Q3UR70-2,Q3UR70,Transforming growth factor-beta receptor-associated protein 1
Trappc9,"0,05531907082","0,6368065308","0,9233922366",,"0,04934668541","0,3175638373",1,,"0,01873421669","0,1208378977",1,,"0,01276183128","0,08936187746","0,9976401129",,"0,02614116669","-0,01826858521","0,08234119415","0,05637168884","0,05720901489","0,03874015808","0,1119337082","-0,1362342834","-0,1008768082","0,02945327759","0,03891181946","0,0416135788","-0,0932264328","-0,02658653259","-0,1155042648","0,02578639984",3698900,458790000,13,10,0,"22,928","127,31",Q3U0M1-2;Q3U0M1;E9Q3T8;Q3U0M1-3;Q3U0M1-4;Q3U0M1-5;A0A8V5KY88,Q3U0M1-2;Q3U0M1;E9Q3T8;Q3U0M1-3;Q3U0M1-4,Trafficking protein particle complex subunit 9
Dpp8,"0,05523920059","0,2149171486","0,9313342817",,"-0,243134737","0,6035941891",1,,"0,01958823204","0,05470643875",1,,"-0,2787857056","0,7850922973",1,,"-1,819346428","-1,597661972","-1,70945549","-1,525017738","-1,653847694","-1,390424728","-1,801652908","-1,883909225","-1,909454346","-1,274969101","-1,286005974","-1,623015404","-1,286866188","-1,580863953","-1,730549812","-1,938009262",2568100,110430000,8,6,0,"26,337","102,18",Q80YA7;A0A1L1STG9,Q80YA7,Dipeptidyl peptidase 8
Mrps17,"0,05515551567","0,2811853776","0,9304911648",,"-0,1507139206","0,9426443763",1,,"0,1240093708","0,54612884",1,,"-0,08186006546","0,893147969",1,,"-1,853845596","-1,880308151","-1,827803612","-2,147913933","-2,227687836","-2,046519279","-1,861779213","-2,069922447","-1,830290794","-1,953109741","-1,86212635","-2,033791542","-1,957526207","-2,034623146","-1,967978477","-1,894100189",22548000,135290000,3,3,0,"6,6718","13,382",Q9CQE3;D3Z198;D3YWF8,Q9CQE3;D3Z198,Small ribosomal subunit protein uS17m
Tpp1,"0,05514001846","0,4257058627","0,9257153285",,"0,07942819595","0,5645580788",1,,"0,02999186516","0,1635073991",1,,"0,05428004265","0,4797073613",1,,"0,6232748032","0,5000085831","0,4356851578","0,43176651","0,4135961533","0,5567178726","0,5610866547","0,3393669128","0,460149765","0,2870922089","0,3999032974","0,5206832886","0,4059095383","0,4372110367","0,4654388428","0,3468418121",5297400,1289400000,5,4,0,"19,312","61,341",O89023,O89023,Tripeptidyl-peptidase 1
Wipf2,"0,05503964424","0,259107877","0,9318420675",,"-0,05623650551","0,8582095702",1,,"-0,04442572594","0,3288362077",1,,"-0,1557018757","1,10996527",1,,"0,2245550156","0,2282457352","0,06483364105","0,03123664856","0,2324676514","0,1369886398","0,1419734955","0,2151441574","0,1968822479","0,2033510208","0,2787370682","0,07887840271","0,2725496292","0,03158092499","0,2743425369","-0,05608940125",6274200,564640000,15,10,0,"17,065","46,297",Q6PEV3;D3Z0K7,Q6PEV3,WAS/WASL-interacting protein family member 2
Rnf141,"0,05501365662","0,253661166","0,9323657225",,"0,0970864296","0,5056341377",1,,"-0,07785201073","0,6433401666",1,,"-0,03577923775","0,1206600324",1,,"-0,8249740601","-0,870472908","-0,9235038757","-1,02038765","-0,7698402405","-0,9489994049","-0,8059968948","-0,8030939102","-0,8200473785","-1,161932945","-0,8729944229","-1,168685913","-0,8613014221","-0,8966007233","-0,9911441803","-0,8029623032",5932300,162920000,3,3,0,"13,456","19,846",H3BJB4;Q99MB7;H3BK28;H3BJE9;A0A1B0GT51;H3BJU0,H3BJB4;Q99MB7,RING finger protein 141
Gpd2,"0,05478835106","0,7774812162","0,9235898193",,"-0,0293161869","0,1659794638",1,,"0,0554702282","0,3574258627",1,,"-0,02863430977","0,3272252923",1,,"4,495734215","4,379576683","4,462407112","4,381271362","4,371211052","4,365918159","4,527236938","4,23274231","4,444591522","4,42338562","4,438042641","4,394586563","4,308353424","4,401151657","4,384916306","4,319181442",224780000,39362000000,120,41,0,"323,31","82,829",A2AQR0;Q64521,A2AQR0;Q64521,"Glycerol-3-phosphate dehydrogenase;Glycerol-3-phosphate dehydrogenase, mitochondrial"
Actr3,"0,05476498604","0,4189656864","0,9260624546",,"0,01173233986","0,1780280939",1,,"0,006425142288","0,0849221357",1,,"-0,03660750389","0,2632246048",1,,"3,989562035","3,995646477","3,925913811","3,941200256","3,984278679","3,951773643","3,991872787","3,898696899","3,970643997","3,910707474","3,931118965","3,926013947","3,967222214","3,883594513","3,778181076","4,045473099",235750000,23808000000,58,19,0,"182,1","47,357",Q99JY9;A0A087WRA1;A0A087WQ14;A0A087WP86;A0A087WS98;A0A087WQ83;A0A087WPR6,Q99JY9,Actin-related protein 3
Hexb,"0,05473446846","0,7567585362","0,924019167",,"0,01125502586","0,07559289915",1,,"0,03549647331","0,5348681546",1,,"-0,007982969284","0,04958615077","0,996664747",,"1,81919384","1,87006855","1,876896858","1,813127518","1,811394691","1,764590263","1,881065369","1,780250549","1,908119202","1,827989578","1,769968987","1,800437927","1,686203003","1,813499451","1,846195221","1,700216293",19695000,3107600000,22,14,0,"73,594","61,115",P20060,P20060,Beta-hexosaminidase subunit beta
Emb,"0,05472874641","0,3569443014","0,9285092224",,"-0,004405975342","0,02630043058",1,,"-0,08310937881","1,020156737",1,,"-0,1422441006","0,9457181831",1,,"-1,458111763","-1,563990593","-1,629032135","-1,623673439","-1,520247459","-1,464809418","-1,495548248","-1,461765289","-1,644113541","-1,393437386","-1,437736511","-1,598077774","-1,449459076","-1,725466728","-1,486152649","-1,684025764",2875200,554360000,4,3,0,"3,7796","37,064",P21995,P21995,Embigin
Nif3l1,"0,05466723442","0,4051996071","0,9269978245",,"0,05693602562","0,4201972464",1,,"0,02070569992","0,2727479007",1,,"0,02297449112","0,1080943037",1,,"1,127975464","0,9945545197","1,092892647","1,030473709","1,0259161","1,065639496","1,03001976","1,041498184","0,9371709824","0,9573783875","1,15610218","1,112967491","0,884677887","0,9157962799","1,076410294","0,9220533371",33547000,2261700000,17,13,0,"33,286","41,745",Q9EQ80;D3Z0G0;E9PWJ6,Q9EQ80;D3Z0G0,NIF3-like protein 1
Afg1l,"0,05466675758","0,253020302","0,9321027104",,"-0,04850888252","0,1376421137",1,,"0,07143807411","0,2310739424",1,,"-0,03173756599","0,1180919049",1,,"-1,13492775","-0,9119720459","-0,9959001541","-1,243409157","-1,136951447","-1,027730942","-0,9788818359","-1,428397179","-0,8914165497","-1,089876175","-1,318009377","-1,203075409","-1,078623772","-1,217187881","-1,057758331","-1,026854515",922410,152170000,2,2,0,"6,8962","54,313",Q3V384;E9Q4K2;F6VT60,Q3V384;E9Q4K2;F6VT60,AFG1-like ATPase
